booking_date,flight_date,route,fare_class,customer_type,lead_time,no_show_probability,no_show
2025-06-16,2025-06-23,ATL-DFW,Economy,Leisure,7,0.345,0
2025-04-07,2025-04-24,LAX-MIA,Economy,Leisure,17,0.212,0
2025-09-11,2025-10-05,NYC-LON,First,Business,24,0.03,0
2025-04-04,2025-04-30,LAX-MIA,Economy,Leisure,26,0.249,0
2025-05-13,2025-06-11,SEA-PDX,Economy,Business,29,0.121,0
2025-07-05,2025-08-05,CHI-DEN,First,Leisure,31,0.043,0
2025-07-18,2025-07-21,JFK-SFO,Business,Business,3,0.082,0
2025-07-08,2025-09-18,SFO-LAX,Economy,Leisure,72,0.22,1
2025-08-20,2025-08-21,SEA-PDX,Economy,Business,1,0.15,0
2025-04-01,2025-04-24,LAX-MIA,Business,Business,23,0.073,0
2025-09-12,2025-09-19,NYC-LON,First,Business,7,0.051,0
2025-05-03,2025-05-04,MIA-ATL,Economy,Business,1,0.154,0
2025-05-05,2025-05-07,NYC-LON,Economy,Leisure,2,0.459,1
2025-06-24,2025-06-26,BOS-DCA,Economy,Leisure,2,0.404,0
2025-08-15,2025-08-28,LAS-PHX,Business,Leisure,13,0.095,0
2025-06-30,2025-07-29,ORD-MIA,Business,Business,29,0.07,0
2025-09-14,2025-10-06,LAX-MIA,Business,Leisure,22,0.114,0
2025-06-13,2025-09-01,LAX-MIA,Economy,Business,80,0.132,0
2025-09-16,2025-09-19,NYC-LON,First,Business,3,0.044,0
2025-07-05,2025-08-12,CHI-DEN,Economy,Business,38,0.12,1
2025-05-09,2025-07-26,BOS-DCA,Economy,Business,78,0.107,0
2025-07-05,2025-07-22,CHI-DEN,Economy,Business,17,0.15,0
2025-08-05,2025-10-18,SEA-PDX,Economy,Leisure,74,0.162,0
2025-07-08,2025-07-12,ATL-DFW,Economy,Business,4,0.166,0
2025-05-16,2025-08-05,SEA-PDX,Economy,Business,81,0.097,0
2025-08-31,2025-11-13,LAX-MIA,Business,Business,74,0.045,0
2025-04-20,2025-05-11,JFK-SFO,Economy,Leisure,21,0.223,0
2025-08-17,2025-08-28,ATL-DFW,Economy,Leisure,11,0.227,0
2025-05-04,2025-05-11,NYC-LON,Economy,Leisure,7,0.391,0
2025-07-04,2025-09-12,PHX-LAS,Business,Leisure,70,0.109,0
2025-08-14,2025-08-30,SEA-PDX,Business,Business,16,0.063,0
2025-07-24,2025-07-25,SEA-PDX,Economy,Business,1,0.197,1
2025-08-16,2025-08-22,NYC-LON,Economy,Leisure,6,0.36,0
2025-09-08,2025-09-12,CHI-DEN,Business,Leisure,4,0.156,0
2025-04-29,2025-05-18,LAX-MIA,Economy,Leisure,19,0.292,0
2025-05-07,2025-07-08,LAX-MIA,Economy,Business,62,0.104,0
2025-06-12,2025-09-09,NYC-LON,Economy,Business,89,0.106,0
2025-09-17,2025-09-21,NYC-LON,Economy,Business,4,0.198,0
2025-07-02,2025-08-19,SEA-PDX,Business,Business,48,0.038,1
2025-05-08,2025-05-11,LAX-MIA,Economy,Leisure,3,0.315,1
2025-07-22,2025-07-23,BOS-DCA,Economy,Leisure,1,0.297,0
2025-05-27,2025-07-07,SFO-LAX,First,Leisure,41,0.052,0
2025-07-06,2025-07-07,DEN-SEA,Economy,Leisure,1,0.333,0
2025-08-04,2025-08-10,PHX-LAS,Economy,Leisure,6,0.323,0
2025-08-24,2025-09-02,LAX-MIA,Economy,Business,9,0.139,0
2025-06-08,2025-06-27,BOS-DCA,Business,Leisure,19,0.114,0
2025-04-10,2025-04-17,DEN-SEA,Business,Leisure,7,0.198,0
2025-07-03,2025-08-08,LAX-MIA,Economy,Leisure,36,0.212,0
2025-06-29,2025-07-06,LAX-MIA,Economy,Business,7,0.188,0
2025-04-24,2025-05-02,SFO-LAX,Economy,Business,8,0.121,0
2025-07-24,2025-08-16,CHI-DEN,Economy,Business,23,0.133,0
2025-04-07,2025-05-01,LAX-MIA,First,Leisure,24,0.061,0
2025-07-07,2025-07-08,SEA-PDX,Economy,Leisure,1,0.373,0
2025-08-05,2025-08-09,LAX-MIA,Economy,Leisure,4,0.401,0
2025-08-05,2025-08-08,NYC-LON,Economy,Leisure,3,0.351,0
2025-05-05,2025-05-07,BOS-DCA,Business,Business,2,0.076,0
2025-05-24,2025-06-02,LAX-MIA,Business,Business,9,0.057,0
2025-04-29,2025-05-11,PHX-LAS,Business,Business,12,0.057,0
2025-06-09,2025-07-24,ATL-DFW,Economy,Leisure,45,0.155,0
2025-06-06,2025-07-03,LAS-PHX,Economy,Leisure,27,0.246,0
2025-09-03,2025-09-05,SFO-LAX,Economy,Leisure,2,0.378,0
2025-09-15,2025-09-21,LAX-MIA,Business,Business,6,0.093,0
2025-04-16,2025-05-29,CHI-DEN,Economy,Leisure,43,0.24,0
2025-09-05,2025-09-12,LAX-MIA,Business,Leisure,7,0.177,1
2025-03-31,2025-04-16,CHI-DEN,Economy,Business,16,0.113,0
2025-07-03,2025-07-18,LAS-PHX,Business,Leisure,15,0.138,0
2025-04-04,2025-04-17,CHI-DEN,Economy,Leisure,13,0.225,0
2025-04-14,2025-06-14,LAX-MIA,Economy,Leisure,61,0.235,0
2025-03-30,2025-04-19,PHX-LAS,Economy,Leisure,20,0.217,0
2025-06-12,2025-07-13,BOS-DCA,Economy,Leisure,31,0.164,0
2025-05-19,2025-07-02,LAX-MIA,Economy,Business,44,0.128,0
2025-09-16,2025-10-01,SEA-PDX,Economy,Business,15,0.109,0
2025-08-25,2025-09-06,CHI-DEN,Business,Leisure,12,0.117,0
2025-05-26,2025-05-31,NYC-LON,Economy,Leisure,5,0.424,1
2025-09-06,2025-09-13,ORD-MIA,Economy,Leisure,7,0.318,1
2025-07-09,2025-08-07,CHI-DEN,Economy,Leisure,29,0.241,0
2025-05-07,2025-08-01,NYC-LON,Economy,Leisure,86,0.184,0
2025-09-12,2025-10-02,CHI-DEN,Economy,Leisure,20,0.307,0
2025-09-14,2025-09-19,LAX-MIA,Economy,Leisure,5,0.324,0
2025-09-20,2025-10-18,LAS-PHX,Economy,Leisure,28,0.212,0
2025-06-14,2025-09-07,BOS-DCA,Economy,Leisure,85,0.197,0
2025-05-22,2025-06-01,LAX-MIA,Economy,Business,10,0.123,1
2025-08-29,2025-10-05,CHI-DEN,Economy,Leisure,37,0.169,0
2025-07-10,2025-07-25,SFO-LAX,Economy,Leisure,15,0.203,1
2025-06-18,2025-07-14,NYC-LON,Economy,Business,26,0.125,1
2025-05-27,2025-06-09,NYC-LON,Business,Leisure,13,0.118,0
2025-03-31,2025-04-07,LAX-MIA,First,Leisure,7,0.081,0
2025-06-24,2025-08-12,NYC-LON,Business,Business,49,0.045,0
2025-09-11,2025-12-04,DFW-LAX,Economy,Leisure,84,0.195,0
2025-04-14,2025-04-17,BOS-DCA,Business,Leisure,3,0.199,0
2025-04-16,2025-05-08,NYC-LON,Economy,Business,22,0.161,0
2025-06-09,2025-06-11,ATL-DFW,Business,Business,2,0.085,0
2025-08-12,2025-08-19,MIA-ATL,First,Business,7,0.054,0
2025-05-27,2025-06-11,ORD-MIA,Business,Leisure,15,0.139,0
2025-06-22,2025-06-26,NYC-LON,Economy,Leisure,4,0.413,0
2025-04-27,2025-05-16,NYC-LON,Economy,Business,19,0.16,0
2025-04-20,2025-04-21,BOS-DCA,Economy,Leisure,1,0.372,1
2025-09-12,2025-10-05,NYC-LON,Economy,Leisure,23,0.246,0
2025-03-29,2025-04-10,JFK-SFO,Economy,Leisure,12,0.245,0
2025-07-14,2025-07-17,LAX-MIA,Economy,Business,3,0.196,0
2025-06-21,2025-08-13,NYC-LON,Economy,Leisure,53,0.243,0
2025-08-31,2025-09-27,LAS-PHX,Economy,Business,27,0.151,0
2025-08-02,2025-08-09,SFO-LAX,Economy,Leisure,7,0.314,0
2025-04-24,2025-05-01,BWI-ORD,First,Leisure,7,0.098,0
2025-09-17,2025-09-20,ATL-DFW,Economy,Business,3,0.148,1
2025-06-08,2025-08-08,CHI-DEN,Economy,Leisure,61,0.202,0
2025-04-19,2025-04-26,DFW-LAX,Economy,Business,7,0.2,1
2025-05-24,2025-06-04,CHI-DEN,Business,Business,11,0.058,0
2025-09-07,2025-09-12,BOS-DCA,Economy,Business,5,0.226,0
2025-05-30,2025-06-29,NYC-LON,Economy,Leisure,30,0.263,0
2025-06-05,2025-06-23,PHX-LAS,Economy,Leisure,18,0.216,0
2025-07-20,2025-08-12,NYC-LON,Business,Business,23,0.058,0
2025-08-21,2025-09-15,SFO-LAX,Economy,Leisure,25,0.269,0
2025-06-07,2025-07-26,SFO-LAX,Economy,Leisure,49,0.166,0
2025-07-28,2025-08-22,LAX-MIA,Business,Leisure,25,0.145,0
2025-04-17,2025-04-25,SFO-LAX,Economy,Leisure,8,0.19,0
2025-07-06,2025-07-19,ORD-MIA,Economy,Leisure,13,0.2,0
2025-09-16,2025-09-21,LAX-MIA,Economy,Business,5,0.197,0
2025-05-01,2025-06-10,NYC-LON,Economy,Leisure,40,0.187,0
2025-05-22,2025-06-05,SEA-PDX,Economy,Leisure,14,0.192,0
2025-05-22,2025-06-06,CHI-DEN,Economy,Business,15,0.128,0
2025-08-19,2025-08-30,NYC-LON,Business,Business,11,0.066,0
2025-05-18,2025-06-06,NYC-LON,Business,Business,19,0.056,0
2025-07-05,2025-08-04,BOS-DCA,Economy,Leisure,30,0.278,1
2025-04-18,2025-05-07,NYC-LON,Business,Business,19,0.072,0
2025-06-14,2025-07-29,LAX-MIA,Economy,Leisure,45,0.174,0
2025-06-26,2025-09-06,PHX-LAS,Economy,Business,72,0.089,0
2025-04-09,2025-04-16,BOS-DCA,Economy,Leisure,7,0.362,0
2025-05-02,2025-06-22,ORD-MIA,Economy,Business,51,0.083,0
2025-07-08,2025-07-27,CHI-DEN,Economy,Leisure,19,0.212,0
2025-09-04,2025-10-10,SFO-LAX,Economy,Leisure,36,0.191,0
2025-09-13,2025-11-24,NYC-LON,Economy,Leisure,72,0.244,0
2025-06-28,2025-07-26,NYC-LON,Economy,Leisure,28,0.251,0
2025-08-14,2025-10-08,CHI-DEN,Economy,Leisure,55,0.23,0
2025-09-07,2025-09-27,LAX-MIA,Business,Leisure,20,0.15,0
2025-06-30,2025-07-06,NYC-LON,Economy,Leisure,6,0.417,1
2025-04-24,2025-05-19,LAX-MIA,Business,Leisure,25,0.137,0
2025-04-01,2025-04-30,CHI-DEN,Economy,Business,29,0.121,0
2025-05-22,2025-05-24,NYC-LON,Economy,Leisure,2,0.387,0
2025-05-12,2025-05-15,JFK-SFO,Economy,Leisure,3,0.302,1
2025-03-30,2025-05-10,SEA-PDX,Economy,Business,41,0.099,0
2025-04-20,2025-04-26,ATL-DFW,Economy,Business,6,0.202,0
2025-08-05,2025-10-03,CHI-DEN,Economy,Business,59,0.112,0
2025-08-03,2025-08-19,NYC-LON,Economy,Business,16,0.163,0
2025-05-14,2025-05-27,LAX-MIA,Business,Business,13,0.068,0
2025-07-29,2025-10-27,NYC-LON,Economy,Leisure,90,0.184,0
2025-06-20,2025-06-23,DEN-SEA,Business,Leisure,3,0.196,1
2025-07-12,2025-07-24,SEA-PDX,Economy,Leisure,12,0.245,1
2025-07-30,2025-08-26,SFO-LAX,Economy,Business,27,0.116,1
2025-06-08,2025-06-18,NYC-LON,Business,Leisure,10,0.104,0
2025-07-24,2025-08-01,SFO-LAX,Economy,Leisure,8,0.249,1
2025-06-23,2025-06-28,SFO-LAX,Business,Leisure,5,0.142,0
2025-09-12,2025-10-29,SEA-PDX,Economy,Business,47,0.081,0
2025-08-28,2025-10-19,NYC-LON,Economy,Business,52,0.117,0
2025-04-01,2025-04-29,NYC-LON,Economy,Leisure,28,0.303,1
2025-08-03,2025-08-05,JFK-SFO,Economy,Business,2,0.181,0
2025-05-25,2025-06-01,BOS-DCA,Economy,Leisure,7,0.288,0
2025-07-16,2025-07-19,CHI-DEN,Economy,Leisure,3,0.457,1
2025-08-07,2025-08-31,LAX-MIA,Economy,Leisure,24,0.25,0
2025-08-08,2025-08-18,LAX-MIA,Economy,Leisure,10,0.28,1
2025-06-02,2025-06-21,SFO-LAX,Economy,Leisure,19,0.261,1
2025-04-05,2025-05-04,NYC-LON,Economy,Leisure,29,0.276,0
2025-08-22,2025-08-29,BOS-DCA,Economy,Leisure,7,0.285,1
2025-05-31,2025-06-10,SFO-LAX,Economy,Business,10,0.134,0
2025-08-25,2025-08-27,CHI-DEN,Economy,Leisure,2,0.349,1
2025-06-01,2025-06-06,LAX-MIA,Business,Leisure,5,0.164,0
2025-05-31,2025-06-06,CHI-DEN,Economy,Leisure,6,0.439,1
2025-06-27,2025-07-14,JFK-SFO,Business,Leisure,17,0.137,0
2025-06-23,2025-07-07,ATL-DFW,Economy,Leisure,14,0.199,0
2025-05-27,2025-06-23,JFK-SFO,Economy,Business,27,0.137,0
2025-06-10,2025-07-15,NYC-LON,Economy,Business,35,0.109,0
2025-08-22,2025-11-01,SFO-LAX,Business,Business,71,0.05,0
2025-08-23,2025-09-05,LAX-MIA,Business,Business,13,0.082,0
2025-09-03,2025-09-09,MIA-ATL,Economy,Leisure,6,0.367,1
2025-04-12,2025-04-17,NYC-LON,Economy,Leisure,5,0.402,0
2025-05-02,2025-05-09,NYC-LON,Economy,Leisure,7,0.398,0
2025-04-30,2025-05-23,JFK-SFO,Economy,Leisure,23,0.215,0
2025-04-01,2025-05-01,NYC-LON,Economy,Leisure,30,0.227,0
2025-07-05,2025-07-24,LAS-PHX,Economy,Business,19,0.129,0
2025-05-27,2025-05-31,LAX-MIA,Economy,Business,4,0.198,0
2025-07-22,2025-10-13,LAX-MIA,Economy,Business,83,0.123,0
2025-05-15,2025-07-16,NYC-LON,Business,Leisure,62,0.122,0
2025-06-25,2025-06-28,CHI-DEN,Business,Leisure,3,0.191,0
2025-08-27,2025-11-12,LAX-MIA,Economy,Business,77,0.091,0
2025-06-23,2025-07-17,CHI-DEN,Economy,Leisure,24,0.27,0
2025-08-22,2025-09-09,SFO-LAX,Economy,Business,18,0.131,0
2025-09-13,2025-09-15,SEA-PDX,Business,Leisure,2,0.136,0
2025-08-19,2025-09-01,CHI-DEN,Economy,Leisure,13,0.267,0
2025-05-16,2025-07-05,CHI-DEN,Economy,Business,50,0.094,0
2025-07-07,2025-09-20,BOS-DCA,Economy,Business,75,0.107,0
2025-04-28,2025-07-05,CHI-DEN,Economy,Leisure,68,0.229,0
2025-04-02,2025-04-07,MIA-ATL,Economy,Business,5,0.175,1
2025-03-31,2025-04-05,ATL-DFW,Business,Leisure,5,0.173,1
2025-08-19,2025-09-17,CHI-DEN,Economy,Leisure,29,0.253,0
2025-05-07,2025-07-23,BOS-DCA,Business,Business,77,0.05,0
2025-07-14,2025-07-31,ATL-DFW,Business,Leisure,17,0.105,0
2025-05-03,2025-06-20,LAX-MIA,Economy,Leisure,48,0.239,0
2025-06-27,2025-08-15,NYC-LON,First,Business,49,0.032,0
2025-05-24,2025-05-31,SFO-LAX,Business,Leisure,7,0.15,0
2025-04-26,2025-04-27,BOS-DCA,Economy,Leisure,1,0.288,0
2025-05-26,2025-06-02,NYC-LON,First,Leisure,7,0.083,0
2025-05-25,2025-06-11,LAX-MIA,Economy,Leisure,17,0.215,0
2025-05-10,2025-06-12,DFW-LAX,Economy,Leisure,33,0.163,0
2025-06-14,2025-07-01,JFK-SFO,Economy,Leisure,17,0.197,0
2025-07-13,2025-08-06,CHI-DEN,Business,Leisure,24,0.127,0
2025-08-26,2025-11-06,LAX-MIA,Economy,Leisure,72,0.23,0
2025-08-05,2025-08-12,BOS-DCA,Economy,Leisure,7,0.327,0
2025-08-30,2025-09-01,CHI-DEN,Business,Business,2,0.099,0
2025-07-17,2025-08-12,NYC-LON,Economy,Leisure,26,0.212,1
2025-07-07,2025-07-13,CHI-DEN,Business,Leisure,6,0.178,1
2025-07-10,2025-07-22,CHI-DEN,Economy,Leisure,12,0.244,0
2025-05-26,2025-08-17,LAX-MIA,Economy,Leisure,83,0.237,1
2025-06-01,2025-06-27,NYC-LON,Business,Leisure,26,0.113,0
2025-08-12,2025-08-23,BOS-DCA,Business,Leisure,11,0.136,0
2025-09-09,2025-10-01,SFO-LAX,Economy,Leisure,22,0.216,1
2025-07-20,2025-09-26,NYC-LON,Economy,Leisure,68,0.209,1
2025-09-06,2025-09-23,CHI-DEN,Business,Leisure,17,0.153,0
2025-06-08,2025-08-06,ORD-MIA,Business,Business,59,0.054,0
2025-05-08,2025-05-15,LAX-MIA,Economy,Leisure,7,0.391,0
2025-07-28,2025-09-16,CHI-DEN,Business,Leisure,50,0.098,0
2025-05-29,2025-06-09,NYC-LON,Economy,Leisure,11,0.302,0
2025-07-24,2025-07-25,SFO-LAX,Economy,Leisure,1,0.403,1
2025-09-12,2025-09-26,SEA-PDX,Business,Business,14,0.068,0
2025-04-29,2025-05-28,PHX-LAS,Economy,Leisure,29,0.279,0
2025-06-10,2025-07-06,JFK-SFO,Business,Leisure,26,0.114,0
2025-06-27,2025-07-21,LAX-MIA,Economy,Business,24,0.132,0
2025-05-25,2025-05-27,LAX-MIA,Business,Leisure,2,0.225,0
2025-06-09,2025-06-24,LAX-MIA,Economy,Business,15,0.136,0
2025-05-09,2025-05-25,LAX-MIA,Economy,Business,16,0.115,0
2025-04-26,2025-05-19,NYC-LON,Business,Business,23,0.081,0
2025-08-06,2025-08-29,DFW-LAX,Economy,Leisure,23,0.224,0
2025-07-03,2025-07-28,BOS-DCA,Economy,Business,25,0.145,0
2025-05-26,2025-06-09,LAX-MIA,Economy,Leisure,14,0.229,1
2025-07-19,2025-08-09,LAX-MIA,Economy,Business,21,0.142,0
2025-05-06,2025-05-22,SEA-PDX,Economy,Leisure,16,0.231,0
2025-06-25,2025-07-01,SFO-LAX,Economy,Leisure,6,0.42,0
2025-05-12,2025-05-19,NYC-LON,Business,Business,7,0.083,0
2025-04-15,2025-04-21,NYC-LON,Economy,Leisure,6,0.318,0
2025-04-19,2025-04-27,NYC-LON,Economy,Business,8,0.14,0
2025-07-12,2025-07-19,BOS-DCA,Economy,Leisure,7,0.306,0
2025-05-12,2025-05-14,BOS-DCA,Economy,Business,2,0.211,1
2025-06-12,2025-07-12,LAX-MIA,Economy,Leisure,30,0.273,0
2025-09-15,2025-09-19,LAX-MIA,Economy,Leisure,4,0.417,1
2025-06-04,2025-06-15,DFW-LAX,Business,Business,11,0.073,0
2025-05-01,2025-05-11,BOS-DCA,Economy,Leisure,10,0.249,1
2025-07-05,2025-07-07,SFO-LAX,Business,Leisure,2,0.168,1
2025-08-13,2025-09-02,BOS-DCA,Economy,Business,20,0.138,0
2025-03-31,2025-04-19,NYC-LON,Economy,Leisure,19,0.241,0
2025-04-24,2025-05-26,BOS-DCA,Business,Leisure,32,0.083,0
2025-06-19,2025-07-18,LAX-MIA,Business,Business,29,0.062,0
2025-07-17,2025-07-23,ATL-DFW,Economy,Business,6,0.161,1
2025-07-07,2025-08-13,NYC-LON,Economy,Leisure,37,0.21,0
2025-09-17,2025-09-22,NYC-LON,Economy,Business,5,0.198,0
2025-06-16,2025-08-21,DFW-LAX,First,Leisure,66,0.041,0
2025-08-19,2025-08-22,CHI-DEN,Economy,Leisure,3,0.374,0
2025-09-04,2025-11-20,BOS-DCA,Economy,Business,77,0.085,0
2025-06-14,2025-07-02,CHI-DEN,Economy,Leisure,18,0.273,0
2025-07-09,2025-08-21,CHI-DEN,Economy,Business,43,0.103,0
2025-04-14,2025-04-29,LAX-MIA,Economy,Leisure,15,0.244,0
2025-08-03,2025-09-01,ATL-DFW,Economy,Leisure,29,0.248,1
2025-07-11,2025-08-01,BOS-DCA,Economy,Business,21,0.114,0
2025-06-07,2025-07-04,CHI-DEN,Economy,Leisure,27,0.301,0
2025-05-07,2025-05-10,BOS-DCA,Business,Leisure,3,0.205,1
2025-07-22,2025-08-19,SFO-LAX,Economy,Leisure,28,0.248,0
2025-07-01,2025-07-09,NYC-LON,Economy,Leisure,8,0.263,0
2025-07-29,2025-08-27,SFO-LAX,Economy,Business,29,0.102,0
2025-06-09,2025-06-21,LAX-MIA,Economy,Leisure,12,0.26,0
2025-08-30,2025-09-17,NYC-LON,Economy,Leisure,18,0.208,0
2025-08-27,2025-09-11,SFO-LAX,Economy,Business,15,0.122,0
2025-06-12,2025-07-11,CHI-DEN,Economy,Leisure,29,0.226,0
2025-06-16,2025-06-18,NYC-LON,Business,Leisure,2,0.159,1
2025-05-09,2025-05-12,NYC-LON,Economy,Leisure,3,0.384,0
2025-07-05,2025-07-31,NYC-LON,Economy,Leisure,26,0.224,0
2025-07-09,2025-08-07,NYC-LON,Economy,Business,29,0.121,0
2025-05-16,2025-06-11,CHI-DEN,Economy,Leisure,26,0.277,0
2025-08-10,2025-08-22,NYC-LON,Business,Leisure,12,0.148,0
2025-05-22,2025-05-29,CHI-DEN,Economy,Leisure,7,0.372,0
2025-06-02,2025-06-10,ATL-DFW,Economy,Business,8,0.101,0
2025-05-29,2025-07-30,SFO-LAX,Economy,Business,62,0.112,0
2025-06-22,2025-09-09,SEA-PDX,Economy,Leisure,79,0.142,0
2025-07-22,2025-07-23,CHI-DEN,Economy,Leisure,1,0.377,0
2025-07-25,2025-07-31,SFO-LAX,Economy,Leisure,6,0.37,1
2025-08-19,2025-11-09,NYC-LON,Economy,Business,82,0.113,0
2025-07-11,2025-07-14,MIA-ATL,Economy,Leisure,3,0.395,1
2025-06-10,2025-09-04,BOS-DCA,Business,Business,86,0.043,0
2025-07-22,2025-08-14,NYC-LON,Economy,Leisure,23,0.245,1
2025-08-31,2025-11-14,MIA-ATL,Economy,Leisure,75,0.174,1
2025-08-31,2025-09-29,BOS-DCA,Business,Leisure,29,0.112,0
2025-07-31,2025-08-17,LAX-MIA,Economy,Leisure,17,0.256,0
2025-04-02,2025-04-30,ATL-DFW,Economy,Business,28,0.13,0
2025-09-23,2025-10-23,DFW-LAX,Business,Business,30,0.072,0
2025-08-31,2025-09-19,BOS-DCA,Economy,Business,19,0.132,0
2025-07-26,2025-08-06,NYC-LON,Economy,Business,11,0.123,0
2025-09-21,2025-09-24,PHX-LAS,First,Leisure,3,0.075,1
2025-06-17,2025-06-24,NYC-LON,Economy,Leisure,7,0.33,0
2025-08-20,2025-08-30,SFO-LAX,Economy,Leisure,10,0.228,0
2025-04-16,2025-06-25,BOS-DCA,Business,Business,70,0.042,0
2025-04-26,2025-05-17,LAX-MIA,Economy,Business,21,0.116,0
2025-04-23,2025-05-23,NYC-LON,Business,Leisure,30,0.114,0
2025-08-06,2025-08-15,ATL-DFW,Business,Business,9,0.054,0
2025-04-13,2025-04-21,BWI-ORD,Business,Business,8,0.072,0
2025-06-22,2025-07-15,MIA-ATL,Business,Business,23,0.052,0
2025-09-13,2025-11-08,CHI-DEN,Economy,Leisure,56,0.199,0
2025-09-02,2025-09-14,LAX-MIA,Economy,Leisure,12,0.227,0
2025-05-09,2025-06-06,BOS-DCA,Economy,Leisure,28,0.256,0
2025-09-09,2025-09-13,NYC-LON,Economy,Business,4,0.222,0
2025-08-10,2025-08-16,NYC-LON,Economy,Leisure,6,0.362,0
2025-07-19,2025-07-21,SEA-PDX,Business,Leisure,2,0.134,0
2025-06-30,2025-07-10,LAX-MIA,First,Leisure,10,0.064,0
2025-09-09,2025-09-28,NYC-LON,Business,Leisure,19,0.138,1
2025-05-16,2025-05-23,ORD-MIA,Economy,Leisure,7,0.335,1
2025-09-14,2025-12-01,BOS-DCA,Economy,Business,78,0.118,0
2025-09-04,2025-10-03,DFW-LAX,Economy,Leisure,29,0.279,0
2025-09-06,2025-11-25,PHX-LAS,Economy,Leisure,80,0.15,0
2025-05-02,2025-06-17,CHI-DEN,Economy,Leisure,46,0.228,1
2025-05-07,2025-05-15,DEN-SEA,Economy,Leisure,8,0.247,0
2025-09-21,2025-10-20,LAX-MIA,Business,Business,29,0.061,0
2025-06-08,2025-06-20,SEA-PDX,Economy,Leisure,12,0.244,0
2025-03-28,2025-04-07,SFO-LAX,Economy,Leisure,10,0.224,0
2025-09-08,2025-10-24,LAX-MIA,Business,Leisure,46,0.099,0
2025-07-02,2025-07-12,MIA-ATL,Economy,Leisure,10,0.197,1
2025-05-31,2025-06-25,LAX-MIA,Business,Leisure,25,0.127,0
2025-08-31,2025-09-06,LAX-MIA,Business,Leisure,6,0.171,0
2025-08-17,2025-08-19,LAS-PHX,Economy,Business,2,0.174,0
2025-08-10,2025-08-14,ORD-MIA,Economy,Leisure,4,0.294,1
2025-08-19,2025-08-20,PHX-LAS,First,Business,1,0.053,0
2025-04-15,2025-05-11,LAX-MIA,Business,Business,26,0.057,0
2025-06-02,2025-06-20,NYC-LON,Business,Business,18,0.081,0
2025-06-14,2025-07-05,NYC-LON,Economy,Business,21,0.126,0
2025-09-15,2025-10-13,LAX-MIA,Economy,Leisure,28,0.212,0
2025-08-19,2025-09-12,LAX-MIA,First,Leisure,24,0.052,0
2025-06-24,2025-08-16,DFW-LAX,Economy,Business,53,0.088,0
2025-07-29,2025-08-05,ATL-DFW,Economy,Leisure,7,0.32,0
2025-07-26,2025-08-24,LAX-MIA,Economy,Leisure,29,0.282,0
2025-07-29,2025-09-22,LAX-MIA,Business,Leisure,55,0.09,0
2025-03-29,2025-04-28,BOS-DCA,Business,Leisure,30,0.12,0
2025-05-20,2025-05-29,NYC-LON,Economy,Business,9,0.14,1
2025-04-19,2025-04-21,LAX-MIA,Economy,Leisure,2,0.443,1
2025-08-17,2025-11-05,NYC-LON,Economy,Business,80,0.092,0
2025-04-07,2025-04-24,LAX-MIA,First,Leisure,17,0.063,0
2025-05-22,2025-06-16,BOS-DCA,Business,Leisure,25,0.104,0
2025-08-10,2025-09-28,NYC-LON,Business,Leisure,49,0.121,0
2025-05-01,2025-05-06,LAX-MIA,Business,Leisure,5,0.204,1
